SMILES,3CL_enzymatic_activity,ACE2_enzymatic_activity,HEK293_cell_line_toxicity_,Human_fibroblast_toxicity,MERS_Pseudotyped_particle_entry,MERS_Pseudotyped_particle_entry_(Huh7_tox_counterscreen),SARS-CoV_Pseudotyped_particle_entry,SARS-CoV_Pseudotyped_particle_entry_(VeroE6_tox_counterscreen),SARS-CoV-2_cytopathic_effect_(CPE),SARS-CoV-2_cytopathic_effect_(host_tox_counterscreen),Spike-ACE2_protein-protein_interaction_(AlphaLISA),Spike-ACE2_protein-protein_interaction_(TruHit_Counterscreen),TMPRSS2_enzymatic_activity
O=C(O)CCC(=O)OCC2(CCCC)C(=O)N(c1ccccc1)N(C2=O)c3ccccc3,0,0,0,0,0,0,0,0,0,0,2,0,0
N#CC(C)(C)c1cc(cc(c1)C(C)(C)C#N)Cn2cncn2,0,0,0,0,0,0,1,0,0,0,0,0,0
Nc2nc(C)ncc2CN(C=O)C(C)=C(CCO)SSC(CCO)=C(C)N(C=O)Cc1cnc(C)nc1N,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(=O)OCC/1=C(/N2[C@H](SC1)[C@H](NC(=O)[C@H](N)C3=CC=CC=C3)C2=O)C(O)=O,0,0,,,0,0,2,0,0,0,0,0,0
CCOC(=O)CN[C@H](C1CCCCC1)C(=O)N2CC[C@H]2C(=O)NCC3=CC=C(C=C3)\C(N)=N\O,0,0,,,0,0,0,0,0,0,0,0,0
CCN(CC)CC[S+]([O-])(=O)[C@@H]1CCN2[C@H]1C(=O)O[C@H](C(C)C)[C@H](C)\C=C\C(=O)NC\C=C\C(=C\[C@@H](O)CC(=O)CC3=NC(=CO3)C2=O)C,1,0,,,0,0,2,0,0,0,1,1,0
OB1O[C@@H](CC[C@@H]1NC(=O)CC2=CC=CS2)CC(O)=O,0,0,,,0,0,1,0,0,0,0,0,0
O=S(=O)(O)O.NC(=O)C(CC(C)N(C)C)(c1ccccc1)c2ccccc2,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C(OCC1=CC=CC=C1)C2=CN=CC=C2,0,0,,,0,0,0,1,0,0,0,0,0
COC1[C@H](O)CC(=O)O[C@H](C)C/C=C/C=C/C(O)[C@H](C)C[C@H](CC=O)C1OC2OCC(OC3CC(C)(O)C(O)C(C)O3)C(C2O)N(C)C,2,0,,,0,0,3,0,0,0,0,0,0
O=C(Nc1ccccc1)CCCCCCC(=O)NO,0,0,2,1,0,0,1,2,0,2,0,0,0
CCN(C(=O)C=CC)c1ccccc1C,0,0,0,0,0,0,2,0,0,0,0,0,0
Cc2nc(C1CCCCC1)c(o2)c3ccc(c(F)c3)S(N)(=O)=O,0,0,1,0,0,0,0,0,0,0,1,1,0
O=C(O)c1ccc(cc1)OCCCOc2ccc(cc2)C(=O)O,3,0,0,0,0,0,0,0,0,0,0,0,0
CN1C(=O)C[C@H](NC1=O)C(=O)N[C@@H](CC2=C[NH]C=N2)C(=O)N3CCC[C@H]3C(N)=O,0,0,,,0,0,1,0,0,0,0,0,0
CCC[C@@]1(CCC2=CC=CC=C2)CC(=C([C@H](CC)C3=CC=CC(=C3)N[S+]([O-])(=O)C4=CC=C(C=N4)C(F)(F)F)/C(=O)O1)\O,0,0,,,2,0,2,0,0,0,1,1,0
[O-]S(=O)(=O)OC.OC(C(=O)OCC1CCCC[N+]1(C)C)(c2ccccc2)c3ccccc3,0,0,,,0,0,0,0,0,0,0,0,0
CC(C)(O\N=C(/C(=O)N[C@H]1[C@H]2SC\C(=C(/N2C1=O)C([O-])=O)C[N+]3=CC=CC=C3)C4=CSC(=N4)N)C(O)=O,0,0,,,0,0,0,0,0,0,0,0,0
Cc1cc(C)c(Br)c(C)c1NC(=O)CN(CC(=O)O)CC(=O)O,0,0,0,0,0,0,0,0,0,0,2,0,0
Cl.CCCCN(CCCC)CCC(O)c2cc1c(Cl)cc(Cl)cc1c3cc(ccc23)C(F)(F)F,0,0,1,0,1,0,1,0,1,2,0,0,1
[Na+].Oc3ccc(C[C@H](NC(=O)c1ccccc1)C(=O)Nc2ccc(cc2)C([O-])=O)cc3,0,0,,,0,0,0,0,0,0,0,0,0
O[C@@H]1[C@@H](COC(=O)C2=CC(=C(O)C(=C2)O)O)O[C@@H](OC(=O)C3=CC(=C(O)C(=C3)O)O)[C@H](O)[C@H]1OC(=O)C4=CC(=C(O)C(=C4)O)O,0,0,,,0,0,1,0,0,0,2,2,0
CCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1,0,0,,,1,1,1,1,0,2,0,0,0
O=C(O)[C@H](O)[C@H](O)C(=O)O.CN(C)C[C@H](C)CN1c3ccccc3Sc2ccccc12.CN(C)C[C@H](C)CN1c3ccccc3Sc2ccccc12,0,0,1,0,1,0,1,0,2,0,2,1,0
O=C(NCCc1ccc(OC(C)(C)C(=O)O)cc1)c2ccc(Cl)cc2,0,0,3,0,0,0,0,0,0,0,0,0,0
NS(=O)(=O)c1cc2C(=O)N(C(C)Nc2cc1Cl)c3ccccc3C,0,1,0,0,0,0,0,0,0,0,0,0,0
O=C(OCC)C=4Oc3cccc(OCC(OC(=O)[C@@H](N)CCCCN)COc1cccc2OC(=CC(=O)c12)C(=O)OCC)c3C(=O)C=4,0,0,0,0,0,0,1,0,0,0,1,1,2
CN(C)C(=O)COC(=O)C(C)c1cc2Cc3ccc(C)nc3Oc2cc1,0,0,0,0,0,0,0,0,0,0,0,0,0
CC/1=C\CC[C@@]2(C)O[C@@H]2[C@H]3OC(=O)C(=C)[C@@H]3CC1,0,,,,1,1,1,1,,,,,
Oc1c(I)cc(I)c2cccnc12,0,2,1,0,1,0,1,0,2,2,2,3,0
CCCc1cc(ccn1)C(N)=S,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C(OCC)c1ccc(nc1)C#Cc2ccc3SCCC(C)(C)c3c2,0,1,1,0,0,0,0,0,0,0,1,2,0
S=[P](N1CC1)(N2CC2)N3CC3,0,0,,,0,0,0,0,0,0,0,0,0
Cl.O=C(OCC)[C@@H](N[C@H]1CS[C@@H](CN(CC(=O)O)C1=O)c2cccs2)CCc3ccccc3,0,0,0,0,0,0,0,0,0,0,1,0,0
Oc1ccc(cc1OC)/C=C/C(=O)O[C@H]4CC[C@]63C[C@@]56CC[C@]2(C)[C@H](CC[C@@]2(C)[C@@H]5CC[C@H]3C4(C)C)[C@H](C)CC\C=C(/C)C,0,0,0,0,0,0,0,0,0,0,0,0,0
OCC1=C(O)C=CC(=C1)C(O)CNCCCCCCOCCOCC2=C(Cl)C=CC=C2Cl,0,0,,,0,0,0,0,0,0,0,1,0
C[N+](C)(C)CC(O)CC(O)=O,0,0,,,0,0,1,0,0,0,0,0,0
O=C(O)C(C)c1cc2Cc3cccnc3Oc2cc1,0,0,0,0,0,0,0,0,0,0,0,0,0
O[C@@H]2[C@@H](OCc1ccccc1)[C@H](O[C@H]2OCC)C(COCc3ccccc3)OCc4ccccc4,0,0,1,0,0,0,0,0,0,0,0,0,0
NC\1=N\C(=O)N(\C=C1F)[C@@H]2CS[C@H](CO)O2,0,0,,,0,0,0,0,0,0,0,0,0
C[N]1N=NN=C1SCC/2=C(/N3C(SC2)[C@@H](NC(=O)C(O)C4=CC=CC=C4)C3=O)C([O-])=O,0,0,,,0,0,0,0,0,0,0,1,0
CC1=CN=CC(=C1)CN2CCC(CC2)=C3C4=CC=C(Cl)C=C4CCC5=CC=CN=C35,0,0,,,1,0,1,0,1,1,1,1,0
CCC(C(=O)NC(N)=O)c1ccccc1,0,0,,,0,0,0,0,0,0,0,0,0
CN(C)S(=O)(=O)c2cc3N(CCCN1CCC(CCOC(=O)CCCCCCCCCCCCCCC)CC1)c4ccccc4Sc3cc2,0,0,,,0,0,0,0,0,0,0,0,0
C[C@H]\1C[C@H]2[C@@H]3CC[C@](OC(C)=O)(C(C)=O)[C@@]3(C)C[C@H](O)[C@]2(F)[C@@]4(C)\C=C/C(=O)/C=C14,0,0,0,,0,0,0,0,0,0,0,0,0
CCCN1C[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)C(C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@H]1C,0,0,,,1,0,1,0,0,0,0,0,0
CCCCCCCCCCCCCCCCCCCCCC(=O)NC\1=N\C(=O)N(\C=C1)[C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O,2,0,,,2,0,0,0,0,0,0,0,2
CN\1[C@@H](CNC2=CC=C(C=C2)C(=O)N[C@@H](CCC(O)=O)C(O)=O)CNC\3=C1C(=O)NC(=N3)\N,0,0,,,0,0,2,0,0,0,0,0,0
Cl.O=C(CN(C)Cc2c(NC(=O)c1ccccc1)cccc2Cl)N3CCOCC3,0,0,,,0,0,0,0,0,0,0,0,0
C1CNCCN1,0,0,,,0,0,0,0,0,0,0,0,0
[Na+].[O-]C(=O)CSC#N,0,0,0,0,0,0,1,0,0,0,0,0,0
O=C(OC)C3=C(C)NC(C)=C(C(=O)OC(C)C)C3c1cccc2nonc12,0,0,1,0,0,0,2,0,0,0,1,2,0
Cl.Cl.OCCN1CCN(CC1)CCCN3c4ccccc4C=Cc2ccccc23,0,1,1,0,1,0,1,0,0,0,1,1,0
Clc3cc4CCc1cccnc1C(=C2/CCN(CC2)C(=O)OCC)\c4cc3,1,0,1,0,1,0,0,0,2,2,1,1,0
O=C(c1ccc(cc1)C(C)C(=O)O)c2cccs2,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C1CCCN1C(=O)/C=C/C=CC(\C)=C\C(O)CCCC,0,0,0,0,0,0,0,0,0,0,0,1,0
COc1cc(cc(OC)c1OC)C(=O)OCCCN3CCCN(CCCOC(=O)c2cc(OC)c(OC)c(OC)c2)CC3,0,0,1,0,1,0,1,0,0,0,0,1,0
O=C1CC[C@]6(O1)[C@H]2C[C@H]2[C@H]5[C@@H]7[C@H]3C[C@H]3C4=CC(=O)CC[C@]4(C)[C@H]7CC[C@@]56C,0,0,1,0,1,0,0,0,0,0,0,1,0
Cl.O=C(c1cc(Cl)ccc1)C(C)NC(C)(C)C,0,0,0,0,0,0,0,0,0,0,0,0,0
NS(=O)(=O)c2cc1c(NCNS1(=O)=O)cc2Cl,0,0,0,0,2,0,2,0,0,0,0,0,0
Fc1ccc(cc1)[C@@H](O)CC[C@H]3C(=O)N(c2ccc(F)cc2)[C@@H]3c4ccc(O)cc4,0,0,1,0,0,0,1,0,0,0,1,1,0
[O-][N+](=O)c1ccc(OP(=O)(OCC)CC)cc1,0,0,1,0,0,0,0,0,0,0,0,0,0
CC[C@]1(O)C[C@H]2CN(CCC3=C([NH]C4=C3C=CC=C4)[C@@](C2)(C(=O)OC)C5=CC6=C(C=C5OC)N(C=O)[C@H]7[C@](O)([C@H](OC(C)=O)[C@]8(CC)\C=C/CN9CC[C@]67[C@H]89)C(=O)OC)C1,0,0,,,2,0,0,1,0,2,1,1,0
O=S(=O)(Cc1ccc2ncc(CCN(C)C)c2c1)N3CCCC3,0,0,0,0,0,0,0,0,0,0,0,0,0
NC13CC2CC(CC(C1)C2)C3,0,0,0,0,0,0,3,0,0,0,0,0,0
O[P](O)(=O)O[P](O)(O)=O,0,0,,,0,0,0,0,0,0,1,0,0
Oc1ccc(C[C@](C)(N)C(=O)O)cc1,0,0,0,0,0,0,0,0,0,0,0,0,0
COC1=C(OC)C(=CC(=C1)\C=C/C(=O)N2CCN(CC2)CC(=O)N3CCCC3)OC,0,0,,,0,0,1,0,0,0,0,0,0
[Cl-].C[S+](C)CCC(N)C(=O)O,0,0,,,0,0,1,0,0,0,0,0,0
C=C1C(/C[C@@H](O)C[C@@H]1O)=C\C=C2/CCC[C@]3(C)[C@H](CC[C@@H]23)[C@H](C)/C=C/[C@@H](O)C4CC4,0,0,1,0,1,0,1,0,0,0,0,0,0
Cl.CC1CN(CCN1)c4cc2c(C(=O)C(=CN2C3CC3)C(=O)O)c(C)c4F,0,1,0,0,0,0,0,0,0,0,0,0,0
CC(CC(=O)NCC(CC)CCCC)OC(=O)CCC(=O)O,0,0,0,0,0,0,2,0,0,0,0,0,0
CCOC1=NC2=CC=CC(=C2[N]1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NN=N[NH]5)C(=O)OC(C)OC(=O)OC6CCCCC6,1,0,,,0,0,1,0,0,1,2,2,0
CCCCCCCCCC(=O)OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C3=CC=C(Cl)C=C3,0,0,,,2,0,0,0,0,0,0,2,0
CN(C)CCC(=O)OC1C(OC(C)=O)C2(C)OC(C)(CC(=O)C2(O)C3(C)C(O)CCC(C)(C)C13)C=C,0,0,,,0,0,2,0,1,2,0,0,0
CN(C)CC(C1=CC=C(O)C=C1)C2(O)CCCCC2,0,0,,,0,0,0,0,0,0,0,0,0
FC(F)(F)c1cc(ccc1Cl)NC(=O)Nc2ccc(Cl)cc2,0,0,2,1,1,0,2,0,0,2,0,0,0
CC(C)NCC(O)C1=CC=C(N[S+](C)([O-])=O)C=C1,0,0,,,0,0,0,0,0,0,0,0,0
CC1=C(C(=O)N[C@H]2[C@H]3SC(C)(C)[C@H](N3C2=O)C([O-])=O)C(=NO1)C4=C(Cl)C=CC=C4F,0,0,,,0,0,0,0,0,0,0,0,0
[Cl-].C[N+](C)(C)CC(C)OC(=O)C,0,0,0,0,0,0,0,0,0,0,0,0,0
OC(CCN)(P(O)(=O)O)P(=O)(O)O,0,0,0,0,0,0,0,0,0,0,0,0,0
O=S(=O)(Nc1nc(C)c(Br)c(C)n1)c2ccc(N)cc2,0,0,,,0,0,0,0,0,0,0,0,0
CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)NCCC2=CC=CC=C2)OC)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C)C(C)C,0,0,,,1,0,2,2,0,3,0,0,0
CO[C@@H]1C[C@@H](CC[C@H]1OC(=O)C(C)(CO)CO)C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N4CCCC[C@H]4C(=O)O2)OC,0,0,,,0,0,0,0,0,0,1,2,0
